"global_line_item_id","order_id","order_created_at","website","customer_id","NA","NA","total_price","currency","total_price_after_currency","new"
"11314300167","6028431879","2017-09","A","299002",NA,NA,26,34.6,899.6,"new"
"11314306119","6028435847","2017-09","A","299004",NA,NA,32,34.6,1107.2,"new"
"11314347719","6028464583","2017-09","A","299007",NA,NA,41,34.6,1418.6,"new"
"11314431751","6028517319","2017-09","A","299012",NA,NA,27,34.6,934.2,"new"
"11314470215","6028543943","2017-09","A","104764",NA,NA,14,34.6,484.4,"new"
"11314528775","6028583303","2017-09","A","159669",NA,NA,42,34.6,1453.2,"new"
"11314563591","6028606215","2017-09","A","299019",NA,NA,81,34.6,2802.6,"new"
"11314604871","6028634823","2017-09","A","299022",NA,NA,45,34.6,1557,"new"
"11314625031","6028647687","2017-09","A","299024",NA,NA,49,34.6,1695.4,"new"
"11314641223","6028658695","2017-09","A","299025",NA,NA,54,34.6,1868.4,"new"
"11314862663","6028808391","2017-09","A","299045",NA,NA,57,34.6,1972.2,"new"
"11314929799","6028856007","2017-09","A","299052",NA,NA,14,34.6,484.4,"new"
"11315014855","6028913223","2017-09","A","299054",NA,NA,50,34.6,1730,"new"
"11315266119","6029076039","2017-09","A","233222",NA,NA,49,34.6,1695.4,"new"
"11315270535","6029078663","2017-09","A","235577",NA,NA,43,34.6,1487.8,"new"
"11315313351","6029106887","2017-09","A","299068",NA,NA,60,34.6,2076,"new"
"11315361159","6029137159","2017-09","A","223372",NA,NA,25,34.6,865,"new"
"11315456199","6029197767","2017-09","A","299080",NA,NA,32,34.6,1107.2,"new"
"11315540615","6029251463","2017-09","A","299084",NA,NA,20,34.6,692,"new"
"11315628359","6029309191","2017-09","A","299091",NA,NA,64,34.6,2214.4,"new"
"11315659591","6029328903","2017-09","A","299092",NA,NA,68,34.6,2352.8,"new"
"11315660743","6029329671","2017-09","A","299093",NA,NA,61,34.6,2110.6,"new"
"11315804935","6029416199","2017-09","A","299102",NA,NA,55,34.6,1903,"new"
"11315817031","6029424199","2017-09","A","190277",NA,NA,72,34.6,2491.2,"new"
"11315827335","6029431367","2017-09","A","299103",NA,NA,59,34.6,2041.4,"new"
